RoleClassLibName,Name,Parent,Attributes?,ID,Description,Recommendations,
MaterialHandlingResourceClassLib,BallCarrier,ConveyorTechnology,No,no,, -,
MaterialHandlingResourceClassLib,WheelCarrier,ConveyorTechnology,No,no,, -,
MaterialHandlingResourceClassLib,MaterialHandlingConnectionPoint,Transport,No,no,, -,
MaterialHandlingResourceClassLib,ConveyorAttachments,Resource,No,no,, -,
MaterialHandlingResourceClassLib,Stopper,ConveyorAttachments,No,no,, -,
MaterialHandlingResourceClassLib,Pusher,ConveyorAttachments,No,no,, -,
MaterialHandlingResourceClassLib,LoadCarryingEquipment,Tool,Yes,no,, -,
MaterialHandlingResourceClassLib,Gripper,LoadCarryingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,HydraulicGripper,Gripper,Yes,no,, -,
MaterialHandlingResourceClassLib,VacuumGripper,Gripper,Yes,no,, -,
MaterialHandlingResourceClassLib,ServoElectricGripper,Gripper,Yes,no,, -,
MaterialHandlingResourceClassLib,MagneticGripper,Gripper,Yes,no,, -,
MaterialHandlingResourceClassLib,PneumaticGripper,Gripper,Yes,no,, -,
MaterialHandlingResourceClassLib,LiftingEquipment,LoadCarryingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,CraneFork,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,LiftingBeam,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,LiftingClamp,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,LiftingGear,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,LiftingJack,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,LiftingMagnet,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,LiftingStrap,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,LiftingPoint,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,LoadHook,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,Shackle,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,SlingChain,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,SlingRope,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,Spreader,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,WorkingCage,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,DrumLiftingEquipment,LiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,DrumPicker,DrumLiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,DrumDumper,DrumLiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,DrumTongs,DrumLiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,DrumLifter,DrumLiftingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,SpecificLoadCarryingEquipment,LoadCarryingEquipment,Yes,no,, -,
MaterialHandlingResourceClassLib,DriveTechnology,Actuator,Yes,no,, -,
MaterialHandlingResourceClassLib,ComboElement,AutomationMLBaseRole,No,no,, -,
MaterialHandlingResourceClassLib,IdentificationDevice,Resource,No,no,, -,
MaterialHandlingResourceClassLib,RFIDReader,IdentificationDevice,No,no,, -,
MaterialHandlingResourceClassLib,BarcodeScanner,IdentificationDevice,No,no,, -,
MaterialHandlingResourceClassLib,QRCodeScanner,IdentificationDevice,No,no,, -,
MaterialHandlingResourceClassLib,ImageProcessingDevice,IdentificationDevice,No,no,, -,
,,,,,,,
MaterialHandlingProcessClassLib,Behavior,Process,No,no,, -,
MaterialHandlingProcessClassLib,Accumulation,Behavior,No,no,, -,
MaterialHandlingProcessClassLib,Merging,Behavior,Yes,no,, -,
MaterialHandlingProcessClassLib,Sorting,Behavior,No,no,, -,
MaterialHandlingProcessClassLib,Dividing,Behavior,No,no,, -,
MaterialHandlingProcessClassLib,Partition,Dividing,No,no,, -,
MaterialHandlingProcessClassLib,Distribution,Dividing,No,no,, -,
MaterialHandlingProcessClassLib,Branching,Dividing,No,no,, -,
MaterialHandlingProcessClassLib,Moving,Process,Yes,no,, -,
MaterialHandlingProcessClassLib,Turning,Moving,Yes,no,, -,
MaterialHandlingProcessClassLib,translating,Moving,Yes,no,, -,
MaterialHandlingProcessClassLib,Swiveling,Moving,Yes,no,, -,
MaterialHandlingProcessClassLib,Orientating,Moving,Yes,no,, -,
MaterialHandlingProcessClassLib,Positioning,Moving,Yes,no,, -,
MaterialHandlingProcessClassLib,Arranging,Moving,Yes,no,, -,
MaterialHandlingProcessClassLib,Directing,Moving,Yes,no,, -,
MaterialHandlingProcessClassLib,HandingOver,Moving,Yes,no,, -,
MaterialHandlingProcessClassLib,Conveying,Moving,Yes,no,, -,
MaterialHandlingProcessClassLib,ContinuousConveying,Conveying,Yes,no,, -,
MaterialHandlingProcessClassLib,DiscontinuousConveying,Conveying,Yes,no,, -,
MaterialHandlingProcessClassLib,Securing,Process,No,no,, -,
MaterialHandlingProcessClassLib,Holding,Securing,No,no,, -,
MaterialHandlingProcessClassLib,Loosening,Securing,No,no,, -,
MaterialHandlingProcessClassLib,Tightening,Securing,No,no,, -,
MaterialHandlingProcessClassLib,Relieving,Securing,No,no,, -,
